H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Nuf2	3500.23	1777.46	1622.02	1443	1794.38	-0.98	-1.28	-0.3
Nufip1	6055.62	8271.48	9223.78	4445.21	4815.36	0.45	-0.45	-0.9
Numa1	33101.42	24562.98	23884.87	30133.35	27958.86	-0.43	-0.14	0.29
Numbl	12362.45	24077.61	27276.69	19531.61	11883.39	0.96	0.66	-0.3
Nup107	3972.41	4608.25	4656.18	2953.38	3395.25	0.21	-0.43	-0.64
Nup153	7158.64	11232.81	12083.38	7371.27	7398.88	0.65	0.04	-0.61
Nup155	3160.73	3445.6	3914.06	2474.2	3281.22	0.12	-0.35	-0.48
Nup160	2997.74	3768.96	4148.07	2802.39	2566.16	0.33	-0.1	-0.43
Nup205	6103.59	7641.03	9282.54	6291.4	4383.39	0.32	0.04	-0.28
Nup35	2492.69	2662.2	3104.41	1909.19	2303.84	0.09	-0.38	-0.48
Nup37	2640.94	3114.7	3776.92	2475.99	2525.35	0.24	-0.09	-0.33
Nup43	2008.04	2318.76	2341.78	2246.05	1749.71	0.21	0.16	-0.05
Nup54	3961.8	7021.41	8013.72	3281.08	3271.13	0.83	-0.27	-1.1
Nup62	13184.15	17006.33	20301.79	13690.6	14066.03	0.37	0.05	-0.31
Nup85	11384.43	10374.62	10150.33	11906.32	7832.29	-0.13	0.06	0.2
Nup88	8771.87	13430.43	13755.95	8316.52	7092.63	0.61	-0.08	-0.69
Nup93	8279.57	8017.31	7499.61	9355.6	8154.5	-0.05	0.18	0.22
Nup98	9136.05	11658.77	11104.17	10407.83	8864.86	0.35	0.19	-0.16
Nupl2	12013.03	13292.88	12926.28	10628.66	9977.56	0.15	-0.18	-0.32
Nupr1	19510.62	12516.39	13828.4	16940.06	21591.54	-0.64	-0.2	0.44
Nus1	5113.7	6845.75	7226.6	5623.51	3657.21	0.42	0.14	-0.28
Nusap1	3311.49	2227.24	1976.45	2863.96	2152.64	-0.57	-0.21	0.36
Nutf2	13725.17	18641.61	16744.24	13910.64	17988.27	0.44	0.02	-0.42
Nvl	3969.8	4389.46	5777.43	3535.67	3889.57	0.14	-0.17	-0.31
Nxf1	31647.32	34656.81	28436.3	29971.67	27030.89	0.13	-0.08	-0.21
Nxn	6488.46	8351.28	10897.02	10772.15	10301.75	0.36	0.73	0.37
Nxnl2	12179.79	9303.43	10234.36	10076.22	6965.25	-0.39	-0.27	0.12
Nxpe3	1609.93	2261.09	1859.24	2770.32	1806.9	0.49	0.78	0.29
Nxph3	1672.67	10336.05	14208.25	3829.94	4341.04	2.63	1.2	-1.43
Nxt1	7046.69	5906.06	5536.26	6422.71	8528.14	-0.25	-0.13	0.12
Nxt2	948.56	926.23	1052.75	855.15	844.39	-0.03	-0.15	-0.12
Nyap1	12835.55	20522.93	21894.99	15575.53	9597.48	0.68	0.28	-0.4
Oaf	12047.64	19923.79	26064.43	20759.93	19783.22	0.73	0.79	0.06
Oard1	6806.91	9660.23	9065.35	7744.12	5456.33	0.51	0.19	-0.32
Oas1b	2729.74	1958.64	2264.6	3522.5	2076.84	-0.48	0.37	0.85
Oas1i	1499.73	1753.43	2584.68	2793.62	1287.55	0.23	0.9	0.67
Oasl2	1354.24	2312.32	1231.63	1673.86	1265.45	0.77	0.31	-0.47
Oat	16436.04	11974.01	9270.83	14891.95	13492.7	-0.46	-0.14	0.31
Oaz1	8807.44	14673.37	15865.52	13979.44	7207.9	0.74	0.67	-0.07
Oaz2	10728.1	11694.43	8954.28	10708.8	8260.37	0.12	0	-0.13
Obfc1	45403.75	63506.63	70754.71	54656.18	61987.82	0.48	0.27	-0.22
Ocel1	17731.23	19615.01	21045.69	22426.85	18326.87	0.15	0.34	0.19
Ociad1	11077.29	10462.78	11651.03	8797.14	10229.94	-0.08	-0.33	-0.25
Ociad2	10149.13	10072.83	9988.5	12472.26	14572.82	-0.01	0.3	0.31
Ocrl	1194.41	2114.31	2884.11	1560.13	1106.16	0.82	0.39	-0.44
Odc1	4175.13	6627.35	6339.78	3864.06	3001.84	0.67	-0.11	-0.78
Odf2	4642.39	8975.24	8640.58	4949.26	2930.68	0.95	0.09	-0.86
Odf2l	8131.8	7228.71	7886.69	8384.33	8507.25	-0.17	0.04	0.21
Ofd1	5653.6	4192.36	4176.31	3549.11	3926.3	-0.43	-0.67	-0.24
Ogdh	4861.61	8268.6	7775.17	5326.97	3493.54	0.77	0.13	-0.63
Ogfod1	11092.64	17613.27	18723.12	15179.45	10151.88	0.67	0.45	-0.21
Ogfod2	6973.3	14976.16	21410.55	13284.39	8014.03	1.1	0.93	-0.17
Ogfod3	6765.01	8582.37	7961.97	9392.91	5669.98	0.34	0.47	0.13
Ogfr	2686.06	4901.65	5960.24	2760.96	2589.61	0.87	0.04	-0.83
Ogfrl1	22531.72	21905.9	23803.46	18650.44	15307.28	-0.04	-0.27	-0.23
Ogg1	12610.32	11341.68	11804.3	11805.81	12899.23	-0.15	-0.1	0.06
Ogn	14235.59	5104.09	5668.94	9142.22	12465.34	-1.48	-0.64	0.84
Ogt	4148.96	3812.82	4275.48	3544.69	4144.19	-0.12	-0.23	-0.11
Ola1	2508.41	5268.82	5091.09	2393.74	1979.53	1.07	-0.07	-1.14
Olfm1	1175.83	1872.16	1865.87	2552.07	718.28	0.67	1.12	0.45
Olfm2	9112.48	13341.78	16743.34	8693.67	5706.95	0.55	-0.07	-0.62
Olfml1	352.27	96.13	129.86	499.65	169.71	-1.87	0.5	2.38
Olfml2b	20645.05	15500.2	14076.6	19501.85	22234.47	-0.41	-0.08	0.33
Olfml3	6629.69	9307.67	10802.81	9923.68	11076.23	0.49	0.58	0.09
Olr821	11296.76	14390.5	16869.24	10903.57	13907.68	0.35	-0.05	-0.4
Oma1	2244.34	3200.07	3819.39	2251.77	1949.59	0.51	0	-0.51
Opa1	1578.69	2051.92	3142.49	1718.2	1741.75	0.38	0.12	-0.26
Opa3	19167.63	29360.45	33234.79	19602.21	14591.31	0.62	0.03	-0.58
Ophn1	3233.96	2486.99	2964.17	3738.94	2991.46	-0.38	0.21	0.59
Oplah	18306.67	16969.13	19824.14	21606.07	17195.27	-0.11	0.24	0.35
Opn3	1418.78	3101.12	3267.01	1689.69	1545.33	1.13	0.25	-0.88
Oprd1	1685.5	1869.34	2031.17	1801.95	2016.68	0.15	0.1	-0.05
Optn	2379.96	2946.07	3029.11	2921.47	2723.27	0.31	0.3	-0.01
Orai1	17262.92	20229.95	17933.84	16596.54	13212.58	0.23	-0.06	-0.29
Orai2	15413.6	14054.88	12390.39	26722.25	18510.8	-0.13	0.79	0.93
Orai3	28517.14	40548.25	42848.51	32770.06	25970	0.51	0.2	-0.31
Oraov1	25421.74	40730.57	52172.88	30992.13	26824.81	0.68	0.29	-0.39
Orc3	3365.64	4140.96	5141.86	2348.1	3304.49	0.3	-0.52	-0.82
Orc4	6788.22	7392.82	8409.59	5758.77	7218.16	0.12	-0.24	-0.36
Orc5	2468.38	2649.48	2443.31	1867.49	2420.67	0.1	-0.4	-0.5
Orc6	10666.04	10991.91	11280.17	12971.56	13264.19	0.04	0.28	0.24
Ormdl1	1999.72	2727.03	3022.61	1535.77	1797.47	0.45	-0.38	-0.83
Ormdl2	6210.34	7622.33	9082.36	8400.74	8812.61	0.3	0.44	0.14
Ormdl3	9472.31	15193.22	15365.78	9114.25	8754	0.68	-0.06	-0.74
Os9	2597.62	3701.34	4081.51	3931.91	2254.28	0.51	0.6	0.09
Osbp	22620.4	21086.97	20340.97	19184.93	18406.78	-0.1	-0.24	-0.14
Osbpl11	5238.11	10641.49	11213.41	9821.53	10549.26	1.02	0.91	-0.12
Osbpl1a	5649.86	7796.71	10527.46	4794.38	6463.94	0.46	-0.24	-0.7
Osbpl2	4479.41	7381.26	7756.65	5216.95	5626.89	0.72	0.22	-0.5
Osbpl5	12641.19	21592.11	25922.67	12892.24	10502.89	0.77	0.03	-0.74
Osbpl7	6711.72	7998.24	10362.09	9008.99	6424.19	0.25	0.42	0.17
Osbpl8	5095.11	8766.74	9332.98	5670.57	3056.53	0.78	0.15	-0.63
Osbpl9	24555.99	15951.3	14358.12	20751.37	30548.63	-0.62	-0.24	0.38
Oscp1	7880.01	7330.95	7352.54	9011.83	9154.48	-0.1	0.19	0.3
Oser1	15485.19	26224.78	35100.68	17808.07	19221.09	0.76	0.2	-0.56
Osgep	11338.58	10191	8522.52	10312.42	9090.11	-0.15	-0.14	0.02
Osgepl1	2470.91	2617.81	2215.19	1630.04	2575.61	0.08	-0.6	-0.68
Osgin1	8000.76	9685.96	9741.72	13607.22	9493.22	0.28	0.77	0.49
Osr1	41610.07	27158.59	29355.01	34624.5	36862.68	-0.62	-0.27	0.35
Osr2	4121.46	4596.64	6539.26	5273.71	3932.59	0.16	0.36	0.2
Ost4	19421.89	22974.15	23691.65	23586.32	21410.08	0.24	0.28	0.04
Ostc	5555.26	7149.5	6865.67	3790.92	3901.07	0.36	-0.55	-0.92
Ostf1	13323.48	15997.9	13167.08	12932.64	10219.46	0.26	-0.04	-0.31
Ostm1	1169.47	2178.62	2720.6	1377.98	1615.85	0.9	0.24	-0.66
Otub1	13900.33	16764.22	15560.97	19338.32	10453.08	0.27	0.48	0.21
Otub2	13500.68	7135.07	8440.72	11836.07	6011.39	-0.92	-0.19	0.73
Otud3	8172.93	15806.97	17640.82	12769	11921	0.95	0.64	-0.31
Otud4	10890.55	14503.37	19390.1	10975.27	15762.86	0.41	0.01	-0.4
Otud5	5283.87	6380.54	7470.81	6203.07	4905.68	0.27	0.23	-0.04
Otud6b	2899.85	3435.03	4426.18	1847.52	3204.2	0.24	-0.65	-0.89
Otud7b	20357.03	20464.5	27661.99	19030.6	27664.13	0.01	-0.1	-0.1
Otulin	3697.21	5390.96	5899.71	4700.43	6371.94	0.54	0.35	-0.2
Otx1	2150.83	3379.95	3340.75	2784.97	1793.23	0.65	0.37	-0.28
Ovca2	8450.65	13051.25	14605.74	13081.83	14080.95	0.63	0.63	0
Oxa1l	5238.43	7823.49	6415.01	8225.96	6774.4	0.58	0.65	0.07
Oxct1	9580.15	7706.8	8011.15	8559.83	8309.97	-0.31	-0.16	0.15
Oxld1	8639.18	11643.33	12685.48	9812.71	8995.57	0.43	0.18	-0.25
Oxnad1	9671.92	18279.6	18241.77	12951.96	12107.21	0.92	0.42	-0.5
Oxr1	4994.31	5364.35	5475.89	4153.23	4869.68	0.1	-0.27	-0.37
Oxsm	4493.1	4298.62	4847.61	4091.08	4215.01	-0.06	-0.14	-0.07
Oxsr1	20699.37	22040.08	24661.54	21830.77	20486.08	0.09	0.08	-0.01
P2rx4	3304.49	5546.15	6575.39	5389.66	3323.89	0.75	0.71	-0.04
P2rx5	11324.84	13869.57	12411.6	13466.42	9656.69	0.29	0.25	-0.04
P2ry1	2372.98	4430.48	6524.69	3292.08	8947.72	0.9	0.47	-0.43
P2ry2	21806.44	18029.41	19852.13	28457.88	16939.96	-0.27	0.38	0.66
P3h1	11788.25	21632.38	23676.09	14860.96	11189.92	0.88	0.33	-0.54
P3h3	14781.65	20106.7	21506.52	17517.27	14378.73	0.44	0.24	-0.2
P3h4	27850.07	30782.86	35957.18	36118.38	43152.4	0.14	0.38	0.23
P4ha1	41738.44	29446.27	29930.68	32369.95	33816.15	-0.5	-0.37	0.14
P4ha2	18529.72	19741.78	21122.36	25358.52	17374.86	0.09	0.45	0.36
P4ha3	35829.83	21319.59	23109.58	23849.9	14749.73	-0.75	-0.59	0.16
P4hb	21913.84	34957.24	36413.59	27404.41	21938.03	0.67	0.32	-0.35
PVR	21945.06	37173.39	53640.14	26753.16	32337.04	0.76	0.29	-0.47
Pa2g4	8796.25	13837.02	14417.74	9030.67	7358.93	0.65	0.04	-0.62
Pabpc1	7608.03	16726.37	17331.63	8650.85	7617.83	1.14	0.19	-0.95
Pabpc4	4136.46	8203.64	9429.96	4733.5	3522.73	0.99	0.19	-0.79
Pabpn1	22809.95	32655.41	36248.1	24554.38	19913.82	0.52	0.11	-0.41
Pacs1	7061.47	9879.41	10587.92	8462.02	6404.32	0.48	0.26	-0.22
Pacsin2	31110.15	38231.5	42061.96	41703.98	37756.14	0.3	0.42	0.13
Pacsin3	9025.94	11581.55	10154.45	10962.58	6950.29	0.36	0.28	-0.08
Padi3	2202.57	2260.95	1957.02	3057.68	1180.73	0.04	0.47	0.44
Paf1	52829.34	64440.88	62055.38	63317.85	44949.82	0.29	0.26	-0.03
Pafah1b1	17830.68	24043.48	28498.55	18643.55	16532.79	0.43	0.06	-0.37
Pafah1b2	28735	25117.61	29794.73	24177.15	23412.74	-0.19	-0.25	-0.06
Pafah1b3	51081.56	77407.53	77491.28	58843.44	44333.94	0.6	0.2	-0.4
Pafah2	4174.85	4806.83	4461.42	5074.06	5101.61	0.2	0.28	0.08
Pagr1	21107.72	22067	22482.4	32271.21	28402.45	0.06	0.61	0.55
Paics	10753.62	15196.14	14529.05	10213.54	8916.02	0.5	-0.07	-0.57
Paip1	5535.46	8660.23	9401.53	5576.59	5093.59	0.65	0.01	-0.64
Paip2	11064.98	13311.75	13816.81	10030.22	8898.87	0.27	-0.14	-0.41
Pak1	52699.84	37242.29	41055.31	40115.99	47772.81	-0.5	-0.39	0.11
Pak1ip1	15606.68	19022.16	19059.6	19085.23	20576.19	0.29	0.29	0
Pak2	5668.63	6886.54	5617.62	5403.08	4329.58	0.28	-0.07	-0.35
Pak3	211.54	260.95	426	300.64	310.29	0.3	0.51	0.2
Pak4	24377.8	17356.44	19410.82	31206.6	22299.25	-0.49	0.36	0.85
Palb2	3462.1	5180.64	5647.72	3217.08	3179.85	0.58	-0.11	-0.69
Palm	31400.94	37270.95	41454.7	38711.72	22023.85	0.25	0.3	0.05
Palm2	10458.7	10849.68	13807	8771.43	6173.85	0.05	-0.25	-0.31
Palmd	18512.53	4822.48	4776.01	12501.45	10449.98	-1.94	-0.57	1.37
Pam	13916.19	10410.89	10925.08	11053.63	12184.9	-0.42	-0.33	0.09
Pam16	80247.96	95890.49	109726.83	91413.4	59576.35	0.26	0.19	-0.07
Pan2	8604.02	10094.79	9879.29	7132.37	8738.89	0.23	-0.27	-0.5
Pank1	10317.57	13586.62	12868.54	8317.93	7493	0.4	-0.31	-0.71
Pank2	10943.64	12336.8	10840.78	9527.43	7020.59	0.17	-0.2	-0.37
Pank3	9861.02	7972.47	7519.48	8100.6	5839.28	-0.31	-0.28	0.02
Pank4	3127.41	5985.91	6775.34	2891.87	2127.98	0.94	-0.11	-1.05
Panx1	2842.06	4435.6	6231.25	4755.24	4902.36	0.64	0.74	0.1
Paox	7638.17	10285.35	11226.29	7320.66	6882.95	0.43	-0.06	-0.49
Papd4	4223.98	5547.24	8395.41	4072.23	5177.25	0.39	-0.05	-0.45
Papd5	17949.96	18794.28	16165.1	17301.75	11545.37	0.07	-0.05	-0.12
Papd7	20747.12	18542.58	20709.96	22334.62	12097.16	-0.16	0.11	0.27
Papola	5866.7	9018.51	10692.45	5557.56	4347.44	0.62	-0.08	-0.7
Papolg	2278.35	3331.5	3734.28	2204.31	1219.09	0.55	-0.05	-0.6
Pappa	8694.6	6169.24	8202.37	5349.58	11902.98	-0.5	-0.7	-0.21
Papss1	3799.89	6254.74	5985.83	3970.2	4754.8	0.72	0.06	-0.66
Papss2	2071.3	2749.9	2577.14	3150.2	1183.19	0.41	0.6	0.2
Paqr3	514.31	920.33	605.01	648.68	466.07	0.84	0.33	-0.5
Paqr4	5881.11	10230.11	10050.18	6103.01	4718.97	0.8	0.05	-0.75
Paqr6	19987.25	29003.34	27972.33	25292.37	22757.85	0.54	0.34	-0.2
Pard3	8806.73	14716.43	18976.65	12627.93	12221.04	0.74	0.52	-0.22
Pard3b	4195.5	5002.15	6104.06	4379.43	4699	0.25	0.06	-0.19
Pard6a	4752.97	5223.46	4732.64	4456.02	3731.47	0.14	-0.09	-0.23
Pard6b	23552.29	46943.58	63363.33	22274.03	24690.45	1	-0.08	-1.08
Pard6g	1041.35	1426.93	1345.89	1112.43	657.57	0.45	0.1	-0.36
Parg	5402.19	8096.22	8211.36	5052.64	5084.15	0.58	-0.1	-0.68
Park7	18263.15	24446.85	23838.57	22887.03	18945.47	0.42	0.33	-0.1
Parl	3959.62	6652.63	8669.26	5279.27	5399.51	0.75	0.41	-0.33
Parn	9378.57	11245.25	12031.27	8739.2	10490.86	0.26	-0.1	-0.36
Parp1	2801.79	3316.35	3790.09	2495.63	2011.39	0.24	-0.17	-0.41
Parp14	7080.08	10555.29	13277.52	10045.61	10532.79	0.58	0.5	-0.07
Parp16	21620.44	21520.06	24356.65	23839.44	21583.65	-0.01	0.14	0.15
Parp2	1667.8	1681.06	1384.34	1091.05	1720.76	0.01	-0.61	-0.62
Parp3	11001.24	15394.28	16932.98	14839.1	11285.9	0.48	0.43	-0.05
Parp6	10888.19	12604.68	11851.01	11936.23	12904.33	0.21	0.13	-0.08
Parp9	13071.04	18099.78	18998.78	12693.7	14679.57	0.47	-0.04	-0.51
Parpbp	2647.6	3118.08	3779.59	2478.21	2526.12	0.24	-0.1	-0.33
Pars2	24523.19	53015.95	60689.86	26405.3	33887.19	1.11	0.11	-1.01
Parva	42507.86	48882.73	49652.79	49477.68	44393.71	0.2	0.22	0.02
Parvb	1733.25	7024.29	11655.06	4513.98	4334.76	2.02	1.38	-0.64
Patl1	7636.59	12278.93	14098.14	7359.51	6853.7	0.69	-0.05	-0.74
Patz1	9730.75	10624.33	11146.67	11862.93	7564.06	0.13	0.29	0.16
Pawr	27327.5	14460.64	15811.13	24140.83	29191.39	-0.92	-0.18	0.74
Pax9	1309.85	2379.26	2850.79	2234.98	1229.47	0.86	0.77	-0.09
Paxip1	15281.63	10912.05	9649.41	8907.59	7174.03	-0.49	-0.78	-0.29
Pbdc1	4453.92	5694.41	5593.98	3537.46	5829.31	0.35	-0.33	-0.69
Pbk	8666.66	7781.99	7667.72	7935.53	11465.03	-0.16	-0.13	0.03
Pbld1	10658.99	12757.66	13756.02	10737.74	8994.91	0.26	0.01	-0.25
Pbx1	50095.37	44808.65	46741.48	42026.19	55832.21	-0.16	-0.25	-0.09
Pbx2	15711.3	24392.85	27000.79	18956.04	13437.4	0.63	0.27	-0.36
Pbx3	3131.68	5550.61	6118.17	4292.37	2209.43	0.83	0.45	-0.37
Pbx4	4789.13	3681.86	3987.43	7127.43	3986.44	-0.38	0.57	0.95
Pc	24496.16	19286.51	18588.87	27035.5	31021.21	-0.34	0.14	0.49
Pcbd1	3471.71	4817.99	5420.93	3133.58	3482.47	0.47	-0.15	-0.62
Pcbp2	6376.23	8596.29	7184.82	8782.3	5778.22	0.43	0.46	0.03
Pcbp3	4922.99	7224.92	8995	5185.7	6302.2	0.55	0.08	-0.48
Pcbp4	12636.37	25006.15	27226.82	20932.74	17082.85	0.98	0.73	-0.26
Pcca	1459.12	1299.8	1353.09	1505.92	955.41	-0.17	0.05	0.21
Pccb	14211.87	19009.19	22247.1	15119.61	12190.76	0.42	0.09	-0.33
Pcdh18	8537.65	10203.33	11385.92	6766.72	15380.34	0.26	-0.34	-0.59
Pcdh20	5519.42	1840.61	1885.49	4275.19	6384.33	-1.58	-0.37	1.22
Pcdh7	27223.27	34357.78	40540.81	30336.11	37925.72	0.34	0.16	-0.18
Pcdha7	794.98	753.71	918.4	779.52	1134.93	-0.08	-0.03	0.05
Pcdhga1	279.65	370.79	322.14	254.44	459.7	0.41	-0.14	-0.54
Pcdhga2	356.48	315.31	279.14	236.28	502.06	-0.18	-0.59	-0.42
Pcdhgb8	3410.34	5518.66	6812.4	3656.58	4875.17	0.69	0.1	-0.59
Pcdhgc3	14141.47	24236.21	27036.4	20139.88	23382.46	0.78	0.51	-0.27
Pced1a	5273.65	9654.41	13032.69	5888.81	5218.79	0.87	0.16	-0.71
Pced1b	2458.88	2061.13	1917.41	2599.28	1117.88	-0.25	0.08	0.33
Pcgf3	4942.45	8426.04	9400.75	5152.74	4780.64	0.77	0.06	-0.71
Pcgf5	3407.94	6985.71	9974.53	4928.12	3509.9	1.04	0.53	-0.5
Pcgf6	7058.79	8028.36	7989.99	5826.11	4782.17	0.19	-0.28	-0.46
Pcid2	3116.05	5441.75	7285.23	3749.12	2861.74	0.8	0.27	-0.54
Pcif1	19075.36	26921.46	30208.2	24435.78	16558	0.5	0.36	-0.14
Pck2	6214.99	6694.88	6348.85	7178.02	5276.13	0.11	0.21	0.1
Pcm1	6329.24	6860.68	7595.26	6386.07	6831.75	0.12	0.01	-0.1
Pcmt1	2573.92	4252.21	4649.63	2911.91	2033.18	0.72	0.18	-0.55
Pcmtd2	2831.08	2568.98	2529.76	2441.1	2597.64	-0.14	-0.21	-0.07
Pcna	24238.42	37845.01	31019.52	30352.9	37189.35	0.64	0.32	-0.32
Pcolce	21546.8	17319.5	16343.07	27067.89	17922.67	-0.32	0.33	0.64
Pcsk5	4429.36	3888.19	4194.68	3568.43	2736.58	-0.19	-0.31	-0.12
Pcsk6	3522.03	4616.66	5319.19	5025.64	3549.47	0.39	0.51	0.12
Pcsk7	21530.65	23226.25	22921.08	21998.51	14574.38	0.11	0.03	-0.08
Pcyox1	9787.28	8287.86	7684.93	9755.46	7769.69	-0.24	0	0.24
Pcyox1l	51973.47	73320.27	85349.23	57037.6	58815.36	0.5	0.13	-0.36
Pcyt1a	7643.58	11381.48	12417.67	8531.86	7470.33	0.57	0.16	-0.42
Pcyt1b	2096.65	1667.3	1450.52	1773.84	1815.88	-0.33	-0.24	0.09
Pcyt2	16602.95	25979.85	27320.54	25141.9	19380.27	0.65	0.6	-0.05
Pdap1	18865.49	23062.52	27988.65	24400.68	19525.99	0.29	0.37	0.08
Pdcd10	2799.86	4347.87	5573	2749.61	3092.3	0.63	-0.03	-0.66
Pdcd11	13156.76	17367.66	21281.21	11015.87	12477.01	0.4	-0.26	-0.66
Pdcd2	7814.53	9002.81	10720.88	7105.71	8699.93	0.2	-0.14	-0.34
Pdcd2l	12619.67	12663.96	11789.52	13065.44	11133.55	0.01	0.05	0.05
Pdcd5	977.38	1797.33	2081.16	1284.6	961.59	0.88	0.39	-0.48
Pdcd6	4135.06	7247.84	7102.43	4059.58	4827.3	0.81	-0.03	-0.84
Pdcd6ip	16693.79	24709.61	28226.16	17043.44	12284.09	0.57	0.03	-0.54
Pdcd7	9177.9	9929.17	9152.35	12811.83	6176.22	0.11	0.48	0.37
Pdcl	1071.74	995.94	787.17	904.17	1031.01	-0.11	-0.25	-0.14
Pdcl3	5479.75	10588.33	12146.24	6410.39	5937.62	0.95	0.23	-0.72
Pde12	8617.04	11184.95	13442.57	7438.35	9305.79	0.38	-0.21	-0.59
Pde3a	2240.32	4518.58	5504.66	3663.44	3859.56	1.01	0.71	-0.3
Pde3b	3561.3	6231.86	6611.18	4479.27	3119.19	0.81	0.33	-0.48
Pde4a	7442.09	13293.99	15366.35	10508.32	8435.97	0.84	0.5	-0.34
Pde4d	3826.98	3165.89	2674.39	2200.71	1312.15	-0.27	-0.8	-0.52
Pde5a	4520.49	4653.33	5495.57	4707.51	3188.93	0.04	0.06	0.02
Pde6d	4874.73	7447.26	8921.88	6685.06	5050.77	0.61	0.46	-0.16
Pde7a	9358.93	12038.02	15907.91	10025.56	7262.62	0.36	0.1	-0.26
Pde8a	10294.98	9482.68	10961.18	11542.3	11922.62	-0.12	0.16	0.28
Pdgfa	25157.54	49387.84	62561.4	29870.07	24892.45	0.97	0.25	-0.73
Pdgfb	34094.53	45860.42	58756.03	27481.85	24795.63	0.43	-0.31	-0.74
Pdgfc	21224.82	15879.83	19712.11	24345.54	24731.06	-0.42	0.2	0.62
Pdgfra	8176.59	10007.45	12592.51	12345.86	9496.42	0.29	0.59	0.3
Pdgfrb	81495.2	79163.57	103552.46	89250.37	97033.94	-0.04	0.13	0.17
Pdgfrl	10689.65	5931.71	6732.95	10458.49	12548.78	-0.85	-0.03	0.82
Pdha1	5555.13	6679.15	6619.73	5512.91	5288.26	0.27	-0.01	-0.28
Pdhb	10124.86	7935.06	7549.78	8768.98	8362.21	-0.35	-0.21	0.14
Pdia3	10089.13	14517.18	12526.59	10171.37	9195.71	0.52	0.01	-0.51
Pdia4	10308.16	10973.52	7719.63	8082.68	8695.39	0.09	-0.35	-0.44
Pdia5	2092.42	2681.51	2659.79	1666.36	1076.53	0.36	-0.33	-0.69
Pdia6	4349.46	7650.18	7233.78	4775.5	3255.61	0.81	0.13	-0.68
Pdik1l	4475.89	8926.37	12150.58	5987.32	3868.82	1	0.42	-0.58
Pdk1	1913.07	3408.32	3989.49	1885.51	1372.61	0.83	-0.02	-0.85
Pdk2	21187.53	49421.28	69087.32	33046.04	32397.11	1.22	0.64	-0.58
Pdk3	2025.25	1991.95	2025.59	1936.65	2779.63	-0.02	-0.06	-0.04
Pdk4	4838.68	3116.26	3873.82	8130.06	21055.11	-0.63	0.75	1.38
Pdlim1	76942.83	43715.11	46150.06	61302.79	67015.96	-0.82	-0.33	0.49
Pdlim2	50204.76	41339.09	49431.7	64671.5	47349.55	-0.28	0.37	0.65
Pdlim4	17418.5	19208.81	22239.09	25215.79	16851.11	0.14	0.53	0.39
Pdlim5	47543.98	35795.27	30760.02	34209.17	41532.04	-0.41	-0.47	-0.07
Pdlim7	32598.75	54432.21	51627.92	37092.44	19838.2	0.74	0.19	-0.55
Pdp1	21932.68	26930.4	36965.88	20639.05	27462.22	0.3	-0.09	-0.38
Pdp2	13421.55	13712.27	17388.27	14232.39	12084.29	0.03	0.08	0.05
Pdpk1	5173.56	9123.84	10659.68	6239.62	6102.06	0.82	0.27	-0.55
Pdpn	881.61	2885.71	3784.57	1049.92	1410.38	1.71	0.25	-1.46
Pdrg1	2067.94	4725.89	5872.24	2434.44	1824.21	1.19	0.24	-0.96
Pds5a	5437.41	9132.8	10209.98	5627.9	4732.6	0.75	0.05	-0.7
Pdss2	6011.11	7678.5	8499.34	5548.67	3353.28	0.35	-0.12	-0.47
Pdxdc1	6202.97	8247.53	10230.6	5711.05	4610.89	0.41	-0.12	-0.53
Pdxk	18946.82	28916.47	28324.56	27338.65	18837.9	0.61	0.53	-0.08
Pdxp	21400.77	37548.86	37472.57	33309.44	24264.73	0.81	0.64	-0.17
Pdzd11	2260.9	1996.52	2159.31	2031.46	3229.07	-0.18	-0.15	0.03
Pdzd4	1126.29	1965.31	2022.69	1162.76	957.3	0.8	0.05	-0.76
Pdzd8	4061.09	9395.22	12591.69	5228.63	3066.9	1.21	0.36	-0.85
Pdzd9	16310.7	18752.66	19528.93	14972.95	17972.54	0.2	-0.12	-0.32
Pdzrn3	23174.71	17018.53	18451.34	16704.16	15572.98	-0.45	-0.47	-0.03
Pea15	20045.56	20220.9	22073.3	22587.81	17958.58	0.01	0.17	0.16
Peak1	20203.6	20669.37	28355.89	13799.96	29759.59	0.03	-0.55	-0.58
Pear1	16697.47	20802.52	25504.21	18525.26	13070.7	0.32	0.15	-0.17
Pebp1	11152.66	12709.96	13831.31	10715.48	8762.21	0.19	-0.06	-0.25
Pecr	7781.11	8780.99	8650.64	8552.06	7080.59	0.17	0.14	-0.04
Pef1	8399.33	8406.52	8843.85	9103.96	6641.99	0	0.12	0.11
Peg12	2137.89	3899.11	4607.32	2834.39	2145.6	0.87	0.41	-0.46
Peg3	2404.28	2057.62	2129.17	2327.92	1491.28	-0.22	-0.05	0.18
Peli1	4612.87	5682.51	4485.64	4540.95	4045.9	0.3	-0.02	-0.32
Peli3	10732.76	13449.11	12925.44	17169.54	8361.39	0.33	0.68	0.35
Pelo	42831	42496.01	53740.34	32562.13	57485.34	-0.01	-0.4	-0.38
