NM_001033971	Ndufaf3
NM_001014007	LOC306766
NM_001107954	Reck
NM_001115046	Denr
NM_016988	Acp2
NM_001106772	Ndufa7
NM_001012195	Rnf41
NM_001012118	Osr2
NM_021654	Gja4
NM_001107304	Ell
NM_001007713	Tmbim1
NM_022542	Rhob
NM_001107206	Aff1
NM_001109179	RGD1565641
NM_001191596	Usp46
NM_001009962	Metrn
NM_001013918	RGD1309540
NM_001034932	C1qtnf6
NM_001034131	Foxp1
NM_033021	Sec31a
NM_199090	Nudt22
NM_001107230	Eif4enif1
NM_001106075	Klhl26
NM_001106542	Ube2c
NM_022548	Zmat3
NM_001107661	Zc2hc1a
NM_001013869	Cc2d1a
NM_001039023	Net1
NM_001130579	Serhl2
NM_001108923	Inpp5a
NM_001105940	Ormdl2
NM_001010946	Ficd
NM_001106259	Akt1s1
NM_001113422	Nr1d1
NM_001024900	Tmem55a
NM_053924	Abcc5
NM_057188	Gmpr
NM_133528	Mob4
NM_001107137	Tyw1
NR_033170	Tyw5
NM_001106788	Trabd
NM_001106191	Banp
NM_175708	Car11
NM_001271206	Usp24
NM_001107756	Nat10
NM_001107883	Il17ra
NM_001106224	Ube2s
NM_001126082	Anapc11
NM_138519	Dkk3
NM_001106575	Srpk2
NM_183056	Stk40
NM_173142	Stk16
NM_019364	Scfd1
NM_053979	Arl5a
NM_133298	Gpnmb
NM_022296	Xylt2
NM_001127297	Wipi1
NM_001014005	Tcta
NM_033097	Vps52
NM_019191	Smad2
NM_001191104	Tmem223
NM_001098216	Tead3
NM_001012088	Pex16
NM_001011939	Ehd1
NM_001109651	LOC691931
NM_001191838	Ppme1
NM_001004090	Tspan5
NM_001004235	Mrpl37
NM_030863	Msn
NM_001100725	Exosc7
NM_001014141	Tmem192
NM_001025120	Gtf3c2
NM_001195564	Uaca
NM_001108002	Fdx1l
NM_001107100	Col8a1
NM_001037181	Cep44
NM_001100556	Gtf2e1
NM_001270807	Sphk1
NM_001105933	Arpc3
NM_053679	Dffa
NM_001008317	Erp44
NM_001106164	Cmtm3
NM_030845	Cxcl1
NM_001142915	Plod2
NM_001129882	Pcgf5
NM_001007732	Serpinb9
NM_013102	Fkbp1a
NM_001316334	Ldhb
NM_001005246	Dmd
NM_001013178	Med20
NM_020100	Ramp3
NM_001135781	RGD1305350
NM_001106319	Cars
NM_153302	Dcps
NM_001105735	Litaf
NM_001204879	Apitd1
NM_053947	Mark1
NM_053352	Ackr3
NM_001014258	Crls1
NM_001169112	Kif11
NM_001108620	Nup205
NM_001139493	Qser1
NM_001108992	Pphln1
NM_012578	H1f0
NM_001008290	Fam216a
NM_001107268	Mtmr6
NM_001113740	Sept7
NM_001007604	Rplp1
NR_130141	LOC100910827
NM_053757	Aimp1
NM_019351	Timm17a
NM_001303144	Safb2
NM_017306	Eci1
NM_001108698	Faap20
NM_001080147	Anapc5
NM_017361	Nup54
NM_001107567	Mrpl21
NM_138549	Tecr
NM_001107323	Tubgcp3
NM_001077589	Rgs16
NM_175598	Ric8b
NM_001006980	Bcap29
NM_001134469	Lrrc49
NM_001105790	Rangrf
NM_001127639	Gba
NM_001191112	Ppp2r5c
NM_012805	Rxra
NM_001106040	Nop9
NM_001108365	Gas2l1
NM_001110055	RGD1564664
NM_001033670	Bcl2l1
NM_001025723	Mtrf1l
NM_001270864	Ndrg2
NM_031068	Actr3
NM_001108480	Bcl2l12
NM_031978	Psmd1
